diet,education,ethnicity,religion,speaks
vegetarian,graduated from high school,"black, native american",atheism,english
vegetarian,graduated from high school,white,atheism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,other,english
anything,graduated from masters program,"white, other",other,english
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (poorly), indonesian (poorly)"
anything,graduated from masters program,white,judaism,"english (fluently), german (poorly), french (poorly)"
anything,graduated from high school,white,atheism,"english, english"
anything,graduated from masters program,white,agnosticism,"english (fluently), spanish (poorly)"
anything,graduated from masters program,white,other,"english, german"
vegetarian,graduated from college/university,white,other,english
anything,graduated from high school,white,agnosticism,english (fluently)
anything,graduated from college/university,"black, white, other",agnosticism,"english (fluently), greek (poorly), ancient greek (poorly), swahili (poorly), lisp (poorly)"
anything,graduated from high school,white,atheism,english
anything,graduated from college/university,white,atheism,"english (fluently), spanish (fluently), french (poorly)"
vegetarian,graduated from college/university,white,buddhism,"english (fluently), spanish (poorly), japanese (poorly)"
anything,graduated from college/university,white,other,"english, french (poorly)"
anything,graduated from masters program,white,atheism,"english (fluently), norwegian (fluently), swedish (okay), french (poorly)"
vegan,graduated from ph.d program,asian,atheism,"english (fluently), latin (poorly), chinese (okay), c++ (poorly)"
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,christianity,english
anything,graduated from high school,white,atheism,"english, chinese (poorly)"
vegan,graduated from college/university,white,christianity,"english, english (fluently)"
anything,graduated from college/university,white,other,english
vegetarian,graduated from high school,white,other,english
anything,graduated from college/university,white,agnosticism,"english (fluently), french (fluently), spanish (okay)"
anything,graduated from college/university,other,other,english
anything,graduated from college/university,white,other,"english, afrikaans (okay), french (fluently), spanish (fluently)"
vegetarian,graduated from college/university,white,other,english
anything,graduated from college/university,white,buddhism,english
anything,graduated from college/university,"native american, white",catholicism,english (fluently)
other,graduated from masters program,white,other,english
anything,graduated from college/university,white,catholicism,english
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (okay), italian (poorly)"
anything,graduated from college/university,other,agnosticism,"english (fluently), french (fluently), german (okay), spanish (okay)"
anything,graduated from college/university,white,buddhism,english
vegetarian,graduated from ph.d program,white,agnosticism,english
anything,graduated from college/university,"hispanic / latin, white",atheism,"english (fluently), spanish (fluently)"
anything,graduated from high school,white,catholicism,english
anything,graduated from college/university,asian,other,"english (fluently), chinese (okay)"
anything,graduated from masters program,white,buddhism,"english (fluently), c++ (fluently)"
anything,graduated from masters program,white,agnosticism,english
vegan,graduated from college/university,"native american, hispanic / latin, white",other,"english (fluently), spanish (fluently), arabic (okay), french (poorly), thai (poorly)"
anything,graduated from high school,"asian, pacific islander",catholicism,"english (fluently), tagalog (fluently), spanish (okay)"
anything,graduated from college/university,white,agnosticism,"english (fluently), german (okay)"
other,graduated from college/university,white,catholicism,english
anything,graduated from college/university,white,christianity,english
vegan,graduated from college/university,"white, other",other,"english (fluently), japanese (poorly), other (poorly)"
vegetarian,graduated from college/university,white,other,"english (fluently), french (fluently), japanese (poorly)"
